HU_mean,HU_mean_smooth,HU_std,HU_std_smooth,Lower_threshold,Upper_threshold
352.451,288.493,110.317,127.933,237.32,544.358
369.348,288.493,103.955,127.933,237.32,544.358
370.722,288.493,94.927,127.933,237.32,544.358
373.187,288.493,133.513,127.933,237.32,544.358
363.775,288.493,97.8156,127.933,237.32,544.358
337.839,288.493,91.6189,127.933,237.32,544.358
326.554,288.493,98.3432,127.933,237.32,544.358
315.062,288.493,108.421,127.933,237.32,544.358
288.612,288.493,122.827,127.933,237.32,544.358
286.178,288.493,131.247,127.933,237.32,544.358
288.645,288.493,138.636,127.933,237.32,544.358
304.269,288.493,129.003,127.933,237.32,544.358
293.666,288.493,130.29,127.933,237.32,544.358
270.138,288.493,146.466,127.933,237.32,544.358
282.898,288.493,132.117,127.933,237.32,544.358
288.431,288.493,121.469,127.933,237.32,544.358
288.493,288.493,119.586,127.933,237.32,544.358
294.72,288.493,124.73,127.933,237.32,544.358
299.918,288.493,119.52,127.933,237.32,544.358
266.85,288.493,145.284,127.933,237.32,544.358
261.166,288.493,123.733,127.933,237.32,544.358
225.755,288.493,117.756,127.933,237.32,544.358
221.885,288.493,175.163,127.933,237.32,544.358
235.272,288.493,150.061,127.933,237.32,544.358
275.005,288.493,127.933,127.933,237.32,544.358
274.177,288.493,151.506,127.933,237.32,544.358
262.939,288.493,187.663,127.933,237.32,544.358
251.346,288.493,188.249,127.933,237.32,544.358
264.241,288.493,156.089,127.933,237.32,544.358
288.724,288.493,142.135,127.933,237.32,544.358
289.141,288.493,154.094,127.933,237.32,544.358
292.767,288.493,140.76,127.933,237.32,544.358
289.913,288.431,144.116,127.933,237.258,544.296
290.49,287.24,143.235,125.105,237.198,537.451
292.628,286.178,136.525,125.105,236.136,536.389
303.05,285.749,132.606,125.105,235.706,535.959
291.158,282.898,146.258,125.105,232.856,533.109
289.238,282.031,133.891,125.105,231.989,532.242
302.744,279.856,118.425,125.105,229.814,530.067
300.417,275.679,134.921,124.73,225.787,525.138
293.318,275.005,137.602,124.73,225.113,524.464
295.201,274.177,129.361,124.578,224.346,523.332
297.25,270.138,133.001,123.733,220.645,517.604
308.394,268.029,128.381,121.469,219.442,510.967
300.752,266.85,129.591,121.06,218.426,508.969
290.933,264.914,125.105,120.798,216.595,506.51
279.856,264.241,114.985,120.798,215.922,505.837
264.914,263.298,119.114,119.52,215.49,502.338
255.521,262.939,120.798,119.114,215.293,501.167
260.788,261.999,124.578,118.425,214.629,498.849
275.679,261.999,113.214,118.425,214.629,498.849
282.031,261.999,111.534,118.425,214.629,498.849
287.24,261.999,111.316,118.425,214.629,498.849
285.749,261.999,111.992,118.425,214.629,498.849
268.029,260.788,110.541,118.425,213.418,497.638
258.107,258.107,113.525,118.425,210.737,494.957
263.298,255.521,114.104,118.425,208.151,492.371
261.999,255.521,121.06,118.425,208.151,492.371
251.038,251.038,110.824,118.425,203.668,487.889
245.111,245.111,104.313,115.868,198.764,476.846
240.662,240.662,114.599,115.868,194.315,472.398
231.097,231.097,90.3992,115.868,184.75,462.832
207.308,218.038,91.3804,115.868,171.691,449.774
208.933,208.933,80.9666,114.985,162.939,438.902
203.744,207.308,110.062,114.599,161.468,436.505
206.595,207.308,101.581,114.104,161.666,435.515
203.04,207.308,86.5162,113.525,161.898,434.357
188.257,207.308,109.793,113.214,162.022,433.736
186.923,207.308,81.7451,113.214,162.022,433.736
190.819,206.595,78.2528,113.214,161.31,433.024
169.796,205.51,98.1823,113.214,160.224,431.938
155.523,205.402,134.709,113.214,160.116,431.83
167.948,205.402,94.8598,111.992,160.605,429.386
171.799,203.744,78.8761,111.992,158.947,427.729
167.997,203.356,72.3369,111.534,158.742,426.424
168.836,203.04,71.0101,111.316,158.514,425.673
166.227,200.865,64.2442,110.824,156.535,422.513
168.672,200.839,97.894,110.608,156.596,422.055
190.529,199.143,82.7882,110.541,154.926,420.224
185.533,198.453,68.733,110.541,154.236,419.534
172.206,197.656,79.5713,110.541,153.44,418.738
163.65,195.894,131.732,110.541,151.678,416.976
178.862,195.894,88.5135,110.131,151.842,416.157
153.918,195.894,184.027,110.062,151.87,416.018
146.009,195.894,178.914,109.793,151.977,415.481
165.639,195.894,176.921,109.793,151.977,415.481
199.143,195.894,166.041,109.793,151.977,415.481
218.038,195.894,142.558,108.955,152.312,413.805
205.51,195.894,155.867,108.955,152.312,413.805
194.152,195.894,142.595,109.793,151.977,415.481
194.787,195.894,115.868,109.793,151.977,415.481
195.894,195.894,121.3,110.062,151.87,416.018
